price,lat,long
221900,47.5112,-122.257
538000,47.721,-122.319
604000,47.5208,-122.393
468000,47.69,-122.292
530000,47.67,-122.394
650000,47.5714,-122.375
485000,47.6648,-122.343
385000,47.7025,-122.341
937000,47.6386,-122.36
667000,47.6221,-122.314
438000,47.695,-122.304
280000,47.7274,-122.357
687500,47.6823,-122.368
535000,47.6889,-122.375
696000,47.6827,-122.31
640000,47.6702,-122.362
685000,47.6413,-122.364
450000,47.6796,-122.301
600000,47.6808,-122.384
585000,47.6989,-122.369
920000,47.6571,-122.281
885000,47.6597,-122.29
549000,47.6765,-122.32
425000,47.6113,-122.297
317625,47.5747,-122.304
571000,47.7168,-122.287
480000,47.5636,-122.394
410000,47.7073,-122.34
355000,47.5474,-122.291
315000,47.7264,-122.31
940000,47.6337,-122.365
335000,47.5394,-122.387
430000,47.687,-122.386
700000,47.687,-122.386
850830,47.6415,-122.315
555000,47.6775,-122.372
460000,47.6878,-122.38
570000,47.6823,-122.349
329950,47.5474,-122.295
740500,47.6981,-122.368
518500,47.6824,-122.347
205425,47.5009,-122.248
535000,47.587,-122.294
395000,47.6999,-122.364
445000,47.5299,-122.266
822500,47.6763,-122.352
675000,47.6734,-122.38
382500,47.7135,-122.287
519950,47.6722,-122.381
665000,47.6338,-122.358
420000,47.7144,-122.351
890000,47.6354,-122.353
511000,47.6873,-122.336
532170,47.6838,-122.353
560000,47.655,-122.359
350000,47.679,-122.3
425000,47.6106,-122.31
399950,47.5868,-122.308
385000,47.6101,-122.307
330000,47.7224,-122.358
470000,47.5384,-122.376
615000,47.65,-122.34
423000,47.5511,-122.312
465000,47.5488,-122.372
470000,47.675,-122.394
425000,47.5733,-122.381
464000,47.7067,-122.343
625504,47.6647,-122.284
477000,47.5458,-122.268
445838,47.5133,-122.379
467000,47.7145,-122.367
390000,47.5123,-122.373
475000,47.5575,-122.303
410000,47.6136,-122.303
210000,47.5308,-122.376
455000,47.6727,-122.299
480000,47.6779,-122.353
181000,47.5218,-122.357
481000,47.6846,-122.345
349500,47.5405,-122.27
